#separator:tab
#html:true
#tags column:3
Kabinettsentscheidung	Wort: Kabinettsentscheidung<br>Typ: passiv<br>Wortart: Substantiv<br>Genus: die<br>中文: 内阁决定；政府内阁作出的决议<br>English: cabinet decision<br>Deutsch erklärt: eine Entscheidung, die von einem Kabinett bzw. einer Regierung im Kabinett getroffen wird<br><br>例句:<br>1. Die Kabinettsentscheidung wurde am Nachmittag bekannt gegeben.<br>   内阁决定在下午公布了。	GermanLexicon patch_229_434 passiv recognition
决心；果断；坚定	Wort: Entschlossenheit<br>Typ: aktiv<br>Wortart: Substantiv<br>Genus: die<br>中文: 决心；果断；坚定<br>English: determination; resolve<br>Deutsch erklärt: fester Wille, etwas Bestimmtes zu tun; entschlossene Haltung<br>辨析: enthalten nicht die konkrete Absicht wie Entschluss, sondern stärker die Eigenschaft der Haltung und Willenskraft<br><br>例句:<br>1. Mit großer Entschlossenheit setzte sie ihr Studium fort.<br>   她以极大的决心继续了学业。<br>2. Dafür braucht man nicht nur Wissen, sondern auch Entschlossenheit.<br>   这不仅需要知识，也需要决心。<br><br>搭配:<br>- mit Entschlossenheit handeln<br>- Entschlossenheit zeigen<br>- Entschlossenheit besitzen	GermanLexicon patch_229_434 aktiv productive
决定；决心	Wort: Entschluss<br>Typ: aktiv<br>Wortart: Substantiv<br>Genus: der<br>中文: 决定；决心<br>English: decision; resolve<br>Deutsch erklärt: nach Überlegung gewonnene Absicht, etwas Bestimmtes zu tun<br>辨析: Entschluss betont stärker die konkrete Willensentscheidung; Entschlossenheit eher die innere Haltung<br><br>例句:<br>1. Ich habe den Entschluss gefasst, im nächsten Jahr nach Deutschland zu gehen.<br>   我已经下定决心，明年去德国。<br>2. Nach langem Überlegen traf er den Entschluss, zu kündigen.<br>   经过长时间考虑，他决定辞职。<br><br>搭配:<br>- einen Entschluss fassen<br>- zu einem Entschluss kommen<br>- einen Entschluss treffen	GermanLexicon patch_229_434 aktiv productive
① 坚决的；果断的 ② 明显的；明确的	Wort: entschieden<br>Typ: aktiv<br>Wortart: Adjektiv<br>中文: ① 坚决的；果断的 ② 明显的；明确的<br>English: decisive; determined; definite; clear<br>Deutsch erklärt: 1. eine eindeutige Meinung vertretend, fest entschlossen 2. eindeutig, klar ersichtlich<br><br>例句:<br>1. Die Regierung reagierte mit entschiedenen Maßnahmen auf die Krise.<br>   政府以果断措施应对危机。<br>2. Das geht entschieden zu weit.<br>   这明显过头了。<br><br>搭配:<br>- entschieden ablehnen<br>- entschieden reagieren<br>- entschieden dagegen sein	GermanLexicon patch_229_434 aktiv productive
Entschließung	Wort: Entschließung<br>Typ: passiv<br>Wortart: Substantiv<br>Genus: die<br>中文: 决议；正式决定<br>English: resolution<br>Deutsch erklärt: besonders von Behörden oder Parlamenten: gemeinsamer Beschluss<br>辨析: im politischen und behördlichen Kontext formeller als Entschluss<br><br>例句:<br>1. Das Parlament verabschiedete eine Entschließung zum Klimaschutz.<br>   议会通过了一项关于气候保护的决议。	GermanLexicon patch_229_434 passiv recognition
entschlüsseln	Wort: entschlüsseln<br>Typ: passiv<br>Wortart: Verb<br>中文: 破译；解码；解密<br>English: to decipher; to decode<br>Deutsch erklärt: einen verschlüsselten Text mithilfe des Schlüssels wieder lesbar machen; in Klartext umsetzen<br><br>例句:<br>1. Die Ermittler konnten die verschlüsselten Daten entschlüsseln.<br>   调查人员成功破译了加密数据。	GermanLexicon patch_229_434 passiv recognition
entschulden（固定搭配）	Wort: entschulden<br>Typ: kollokation<br><br>固定搭配项:<br>1. sich für etwas entschuldigen<br>   为某事道歉<br>   Ich möchte mich für die Verspätung entschuldigen.<br>2. jemanden um Entschuldigung bitten<br>   向某人请求原谅/道歉<br>   Ich bitte Sie um Entschuldigung.<br>3. sich entschuldigen lassen<br>   托人转达缺席原因；请假<br>   Sie hat sich wegen einer Prüfung entschuldigen lassen.<br>4. jemanden bei jemandem entschuldigen<br>   向某人说明某人缺席的原因<br>   Er hat sein Kind bei der Schule entschuldigt.<br>5. etwas nicht entschuldigen können<br>   不能原谅某事<br>   Dieses Verhalten kann ich nicht entschuldigen.	GermanLexicon patch_229_434 kollokation collocation
① 道歉；原谅 ② 请假条；缺席说明	Wort: Entschuldigung<br>Typ: aktiv<br>Wortart: Substantiv<br>Genus: die<br>中文: ① 道歉；原谅 ② 请假条；缺席说明<br>English: apology; excuse; note explaining absence<br>Deutsch erklärt: 1. Begründung und Rechtfertigung; Bitte um Verzeihung 2. schriftliche Mitteilung über den Grund eines Fehlens<br><br>例句:<br>1. Entschuldigung, ich habe Sie nicht gesehen.<br>   抱歉，我没看到您。<br>2. Für die Schule braucht er eine Entschuldigung von den Eltern.<br>   他需要一份家长写的请假说明给学校。<br><br>搭配:<br>- um Entschuldigung bitten<br>- Entschuldigung sagen<br>- eine Entschuldigung schreiben	GermanLexicon patch_229_434 aktiv productive
entschwinden	Wort: entschwinden<br>Typ: passiv<br>Wortart: Verb<br>中文: 消失；离去；淡出记忆<br>English: to vanish; to disappear<br>Deutsch erklärt: sich entziehen, weggehen oder sich dem Gedächtnis entziehen<br>说明: gehoben; in Alltagssprache meist: verschwinden, entfallen<br><br>例句:<br>1. Der Name ist mir im Moment entschwunden.<br>   这个名字我一时想不起来了。	GermanLexicon patch_229_434 passiv recognition
决定；下定决心	Wort: entschließen<br>Typ: aktiv<br>Wortart: Verb<br>中文: 决定；下定决心<br>English: to decide; to make up one&#x27;s mind<br>Deutsch erklärt: nach Überlegung beschließen, etwas Bestimmtes zu tun<br>辨析: meist reflexiv: sich zu etwas entschließen<br><br>例句:<br>1. Ich konnte mich lange nicht entschließen, den Job anzunehmen.<br>   我很久都没能下定决心接受这份工作。<br>2. Sie entschloss sich, sofort Hilfe zu holen.<br>   她决定立刻去寻求帮助。<br><br>搭配:<br>- sich zu etwas entschließen<br>- sich rasch entschließen<br>- sich nicht entschließen können	GermanLexicon patch_229_434 aktiv productive
坚决的；果断的	Wort: entschlossen<br>Typ: aktiv<br>Wortart: Adjektiv<br>中文: 坚决的；果断的<br>English: decisive; determined<br>Deutsch erklärt: eine ganz bestimmte Absicht habend und diese energisch und ohne Zögern verfolgend<br><br>例句:<br>1. Sie trat sehr entschlossen auf.<br>   她表现得非常果断。<br>2. Ein entschlossener Einsatz ist jetzt nötig.<br>   现在需要果断的行动。<br><br>搭配:<br>- ein entschlossener Mensch<br>- entschlossen handeln<br>- entschlossen auftreten	GermanLexicon patch_229_434 aktiv productive
